time,open,high,low,close,volume,turnover
2020-03-25 00:00:00+00:00,6500,6745.5,6500,6698.5,1809.52,12121069.7200000007
2020-03-26 00:00:00+00:00,6698.5,6767,6512,6733.5,3904.964,26294075.0940000005
2020-03-27 00:00:00+00:00,6733.5,6838,6235,6354,4605.347,29262374.8379999995
2020-03-28 00:00:00+00:00,6354,6354,6010,6230.5,5750.959,35831350.0495000035
2020-03-29 00:00:00+00:00,6230.5,6247,5858,5873,5347.238,31404328.7740000002
2020-03-30 00:00:00+00:00,5873,6577.5,5841.5,6389.5,15103.617,96504560.8215000033
2020-03-31 00:00:00+00:00,6389.5,6509.5,6323.5,6405,15717.34,100669562.700000003
2020-04-01 00:00:00+00:00,6405,6687,6145,6642,17552.87,116586162.5400000066
2020-04-02 00:00:00+00:00,6642,7230.5,6543.5,6796.5,32569.69,221359898.0850000083
2020-04-03 00:00:00+00:00,6796.5,7044,6604.5,6727.5,12668.382,85226539.9050000012
2020-04-04 00:00:00+00:00,6727.5,7012,6646,6863.5,10039.906,68908894.8310000002
2020-04-05 00:00:00+00:00,6863.5,6889,6680,6771,10478.195,70947858.3449999988
2020-04-06 00:00:00+00:00,6771,7363,6762,7322.5,17587.456,128784146.5600000024
2020-04-07 00:00:00+00:00,7322.5,7458.5,7072.5,7198.5,18539.023,133453157.0655000061
2020-04-08 00:00:00+00:00,7198.5,7417,7150.5,7356.5,15491.07,113960056.4549999982
2020-04-09 00:00:00+00:00,7356.5,7364,7123,7282,16533.355,120395891.1099999994
2020-04-10 00:00:00+00:00,7282,7287,6741.5,6857,21525.607,147601087.199000001
2020-04-11 00:00:00+00:00,6857,6938,6760,6874.5,8607.234,59170430.1330000013
2020-04-12 00:00:00+00:00,6874.5,7170,6780,6901,13333.274,92012923.873999998
2020-04-13 00:00:00+00:00,6901,6901,6557,6834.5,23116.247,157987990.1214999855
2020-04-14 00:00:00+00:00,6834.5,6967,6752.5,6864.5,14309.583,98228132.5034999996
2020-04-15 00:00:00+00:00,6864.5,6924.5,6603,6617.5,14598.789,96607486.2074999958
2020-04-16 00:00:00+00:00,6617.5,7188,6465.5,7099.5,33866.452,240434875.9740000069
