time,open,high,low,close,volume,turnover
2020-11-28 20:00:00+00:00,17806.5,17860,17632,17716,1841.484,32623730.544
2020-11-29 00:00:00+00:00,17716,17880,17519.5,17872,1792.11,32028589.92
2020-11-29 04:00:00+00:00,17872,17872,17679.5,17819.5,1064.264,18964652.348
2020-11-29 08:00:00+00:00,17819.5,18223,17804,18085.5,3617.557,65425327.1235
2020-11-29 12:00:00+00:00,18085.5,18178.5,17915.5,18099.5,2402.328,43480935.636
2020-11-29 16:00:00+00:00,18099.5,18124.5,17921.5,18016,1740.227,31351929.632
2020-11-29 20:00:00+00:00,18016,18324.5,18015.5,18179,2988.287,54324069.373
2020-11-30 00:00:00+00:00,18179,18565.5,18179,18565,3083.328,57241984.32
2020-11-30 04:00:00+00:00,18565,18660.5,18448.5,18617,1745.174,32489904.358
2020-11-30 08:00:00+00:00,18617,18657.5,18342.5,18600.5,3002.633,55850475.1165
2020-11-30 12:00:00+00:00,18600.5,19930.5,18600,19353,12647.821,244773279.813
2020-11-30 16:00:00+00:00,19353,19622,19057,19260,5930.173,114215131.98
2020-11-30 20:00:00+00:00,19260,19770,19189,19712,3172.487,62536063.744
2020-12-01 00:00:00+00:00,19712,19732,19345,19451.5,4515.211,87827626.7665
2020-12-01 04:00:00+00:00,19451.5,19550,19320.5,19536,3289.242,64258631.712
2020-12-01 08:00:00+00:00,19536,19948,18914.5,19447,9752.574,189658306.578
2020-12-01 12:00:00+00:00,19447,19500.5,18090.5,19272.5,21602.311,416330538.7475
2020-12-01 16:00:00+00:00,19272.5,19322,18628,19073,8090.208,154304537.184
2020-12-01 20:00:00+00:00,19073,19218,18738.5,18770.5,4166.534,78207926.447
2020-12-02 00:00:00+00:00,18770.5,18962.5,18424.5,18604,5242.988,97540548.752
2020-12-02 04:00:00+00:00,18604,19143.5,18332,19138,5511.75,105483871.5
2020-12-02 08:00:00+00:00,19138,19344,19009,19133,5794.806,110872023.198
2020-12-02 12:00:00+00:00,19133,19256.5,18743,18886,5458.827,103095406.722
2020-12-02 16:00:00+00:00,18886,19134,18788,19109,2767.972,52893176.948
2020-12-02 20:00:00+00:00,19109,19268.5,19065,19217.5,2564.685,49286833.9875
2020-12-03 00:00:00+00:00,19217.5,19299,18956.5,19093,2698.917,51530422.281
2020-12-03 04:00:00+00:00,19093,19255,18876,19208.5,2609.787,50130093.5895
2020-12-03 08:00:00+00:00,19208.5,19473.5,19123.5,19418.5,4071.24,79057373.94
2020-12-03 12:00:00+00:00,19418.5,19562,19259,19551.5,2280.836,44593765.054
2020-12-03 16:00:00+00:00,19551.5,19620,19208,19420,2547.207,49466759.94
2020-12-03 20:00:00+00:00,19420,19542.5,19322,19435,1130.704,21975232.24
2020-12-04 00:00:00+00:00,19435,19527,19137,19169.5,1485.596,28478132.522
2020-12-04 04:00:00+00:00,19169.5,19363,19140,19308,1397.059,26974415.172
2020-12-04 08:00:00+00:00,19308,19446.5,18782,18835,4261.649,80268158.915
2020-12-04 12:00:00+00:00,18835,19139,18694,18960,3561.472,67525509.12
2020-12-04 16:00:00+00:00,18960,19073.5,18830,19037.5,1739.037,33106916.8875
2020-12-04 20:00:00+00:00,19037.5,19038,18576.5,18667.5,2533.331,47290956.4425
2020-12-05 00:00:00+00:00,18667.5,18880,18512,18825.5,1649.065,31044473.1575
2020-12-05 04:00:00+00:00,18825.5,18989.5,18811,18917,1233.67,23337335.39
2020-12-05 08:00:00+00:00,18917,19183,18912,19022.5,1766.259,33598661.8275
2020-12-05 12:00:00+00:00,19022.5,19148,18963,19117,1088.521,20809255.957
2020-12-05 16:00:00+00:00,19117,19174.5,19034.5,19108,866.272,16552725.376
2020-12-05 20:00:00+00:00,19108,19153,18986.5,19143.5,792.396,15169232.826
2020-12-06 00:00:00+00:00,19143.5,19342,19134,19189,1673.424,32111333.136
2020-12-06 04:00:00+00:00,19189,19259.5,19122,19233.5,877.363,16874761.2605
2020-12-06 08:00:00+00:00,19233.5,19249.5,18948,19076,2016.02,38457597.52
2020-12-06 12:00:00+00:00,19076,19145,18866,19115.5,1413.399,27017828.5845
2020-12-06 16:00:00+00:00,19115.5,19204,19017,19130.5,1084.19,20741096.795
2020-12-06 20:00:00+00:00,19130.5,19428.5,19060.5,19366,2107.575,40815297.45
2020-12-07 00:00:00+00:00,19366,19431,19168.5,19284.5,1715.379,33080226.3255
2020-12-07 04:00:00+00:00,19284.5,19399,19239,19375.5,1068.543,20703554.8965
2020-12-07 08:00:00+00:00,19375.5,19379,19091.5,19109,1543.121,29487499.189
2020-12-07 12:00:00+00:00,19109,19262,19100,19222,1657.608,31862540.976
